sample_idx,record_id,true_label,pred_label,drift_score,confidence,entropy,margin,policy_level,action,reason_code
30,100,N,N,0.0,0.9734,0.1377,0.951,normal,accept,NORMAL
31,100,N,N,0.0,0.9786,0.1144,0.9601,normal,accept,NORMAL
32,100,N,N,0.0,0.9591,0.2003,0.9304,normal,accept,NORMAL
33,100,N,N,0.0,0.9786,0.1191,0.9627,normal,accept,NORMAL
34,100,N,N,0.0,0.9723,0.1398,0.9482,normal,accept,NORMAL
35,100,N,N,0.0,0.969,0.1553,0.943,normal,accept,NORMAL
36,100,N,N,0.0,0.9579,0.207,0.9314,normal,accept,NORMAL
37,100,N,N,0.0,0.9821,0.1003,0.9676,normal,accept,NORMAL
38,100,N,N,0.0,0.9861,0.0846,0.9765,normal,accept,NORMAL
39,100,N,N,0.0,0.9725,0.1399,0.9488,normal,accept,NORMAL
40,100,N,N,0.0,0.947,0.2374,0.9035,normal,accept,NORMAL
41,100,N,N,0.0,0.9816,0.1077,0.9727,normal,accept,NORMAL
42,100,N,N,0.0,0.9326,0.276,0.8727,normal,accept,NORMAL
43,100,N,N,0.0,0.971,0.1486,0.9475,normal,accept,NORMAL
44,100,N,N,0.0,0.9701,0.1573,0.9507,normal,accept,NORMAL
45,100,N,N,0.0,0.9402,0.2715,0.9037,normal,accept,NORMAL
46,100,N,N,0.0,0.9841,0.0925,0.9718,normal,accept,NORMAL
47,100,N,N,0.0,0.9734,0.1369,0.9509,normal,accept,NORMAL
48,100,N,N,0.0,0.9753,0.1324,0.9561,normal,accept,NORMAL
49,100,N,N,0.0,0.9883,0.0734,0.9802,normal,accept,NORMAL
50,100,N,N,0.0,0.9828,0.1001,0.97,normal,accept,NORMAL
51,100,N,N,0.0,0.9784,0.1228,0.9658,normal,accept,NORMAL
52,100,N,N,0.0,0.977,0.1271,0.9609,normal,accept,NORMAL
53,100,N,N,0.0,0.9721,0.1394,0.9471,normal,accept,NORMAL
54,100,N,N,0.0,0.9743,0.1353,0.9532,normal,accept,NORMAL
55,100,N,N,0.0,0.953,0.2143,0.9138,normal,accept,NORMAL
56,100,N,N,0.0,0.9677,0.1688,0.9491,normal,accept,NORMAL
57,100,N,N,0.0,0.9784,0.1162,0.9601,normal,accept,NORMAL
58,100,N,N,0.0,0.9773,0.1259,0.9615,normal,accept,NORMAL
59,100,N,N,0.0,0.9776,0.1263,0.9664,normal,accept,NORMAL
60,100,N,N,0.0,0.9622,0.1855,0.9339,normal,accept,NORMAL
61,100,N,N,0.0,0.9732,0.1383,0.9507,normal,accept,NORMAL
62,100,N,N,0.0,0.9242,0.3044,0.8583,normal,accept,NORMAL
63,100,N,N,0.0,0.9517,0.2196,0.9111,normal,accept,NORMAL
64,100,N,N,0.0,0.9657,0.1724,0.939,normal,accept,NORMAL
65,100,N,N,0.0,0.9748,0.1383,0.9591,normal,accept,NORMAL
66,100,N,N,0.0,0.9669,0.1718,0.9493,normal,accept,NORMAL
67,100,N,N,0.0,0.9477,0.2388,0.9072,normal,accept,NORMAL
68,100,N,N,0.0,0.9845,0.0902,0.9723,normal,accept,NORMAL
69,100,N,N,0.0,0.983,0.0967,0.9693,normal,accept,NORMAL
70,100,N,N,0.0,0.9759,0.131,0.9579,normal,accept,NORMAL
71,100,N,N,0.0,0.9735,0.1449,0.9579,normal,accept,NORMAL
72,100,N,N,0.0,0.9757,0.1261,0.9547,normal,accept,NORMAL
73,100,N,N,0.0,0.9777,0.1178,0.9585,normal,accept,NORMAL
74,100,N,N,0.0,0.9685,0.1599,0.9437,normal,accept,NORMAL
75,100,N,N,0.0,0.976,0.1282,0.957,normal,accept,NORMAL
76,100,N,N,0.0,0.9764,0.1247,0.9565,normal,accept,NORMAL
77,100,N,N,0.0,0.9717,0.146,0.9484,normal,accept,NORMAL
78,100,N,N,0.0,0.9707,0.1495,0.9464,normal,accept,NORMAL
79,100,N,N,0.0,0.9826,0.1027,0.9723,normal,accept,NORMAL
80,100,N,N,0.0,0.9734,0.139,0.9521,normal,accept,NORMAL
81,100,N,N,0.0,0.9787,0.1196,0.9643,normal,accept,NORMAL
82,100,N,N,0.0,0.9695,0.1544,0.9445,normal,accept,NORMAL
83,100,N,N,0.0,0.9833,0.0984,0.9718,normal,accept,NORMAL
84,100,N,N,0.0,0.9783,0.1208,0.9621,normal,accept,NORMAL
85,100,N,N,0.0,0.9207,0.3317,0.8648,normal,accept,NORMAL
86,100,N,N,0.0,0.9801,0.1107,0.9641,normal,accept,NORMAL
87,100,N,N,0.0,0.9745,0.1304,0.9519,normal,accept,NORMAL
88,100,N,N,0.0,0.9473,0.2285,0.9007,normal,accept,NORMAL
89,100,N,N,0.0,0.9309,0.306,0.893,normal,accept,NORMAL
90,100,N,N,0.0,0.9741,0.1383,0.9547,normal,accept,NORMAL
91,100,N,N,0.0,0.9772,0.1237,0.9591,normal,accept,NORMAL
92,100,N,N,0.0,0.9798,0.1122,0.9638,normal,accept,NORMAL
93,100,N,N,0.0,0.9824,0.0997,0.9684,normal,accept,NORMAL
94,100,N,N,0.0,0.9821,0.1051,0.9712,normal,accept,NORMAL
95,100,N,N,0.0,0.9189,0.3144,0.8463,normal,accept,NORMAL
96,100,N,N,0.0,0.9402,0.2582,0.89,normal,accept,NORMAL
97,100,N,N,0.0,0.9717,0.146,0.9488,normal,accept,NORMAL
98,100,N,N,0.0,0.9823,0.0986,0.9674,normal,accept,NORMAL
99,100,N,N,0.0,0.9543,0.208,0.9147,normal,accept,NORMAL
100,100,N,N,0.0,0.9764,0.1266,0.9574,normal,accept,NORMAL
101,100,N,N,0.0,0.9627,0.1871,0.9378,normal,accept,NORMAL
102,100,N,N,0.0,0.9743,0.1339,0.9528,normal,accept,NORMAL
103,100,N,N,0.0,0.9699,0.1511,0.9443,normal,accept,NORMAL
104,100,N,N,0.0,0.9768,0.1296,0.9624,normal,accept,NORMAL
105,100,N,N,0.0,0.9835,0.0968,0.9714,normal,accept,NORMAL
106,100,N,N,0.0,0.9621,0.1811,0.9296,normal,accept,NORMAL
107,100,N,N,0.0,0.9757,0.1324,0.958,normal,accept,NORMAL
108,100,N,N,0.0,0.9593,0.1943,0.9266,normal,accept,NORMAL
109,100,N,N,0.0,0.9566,0.1973,0.9178,normal,accept,NORMAL
110,100,N,N,0.0,0.957,0.1943,0.9181,normal,accept,NORMAL
111,100,N,N,0.0,0.9,0.3997,0.8386,normal,accept,NORMAL
112,100,N,N,0.0,0.9807,0.1084,0.9661,normal,accept,NORMAL
113,100,N,N,0.0,0.9464,0.2367,0.9007,normal,accept,NORMAL
114,100,N,N,0.0,0.9787,0.1226,0.968,normal,accept,NORMAL
115,100,N,N,0.0,0.9337,0.2896,0.886,normal,accept,NORMAL
116,100,N,N,0.0,0.9509,0.2349,0.9233,normal,accept,NORMAL
117,100,N,N,0.0,0.9637,0.179,0.9354,normal,accept,NORMAL
118,100,N,N,0.0,0.9745,0.138,0.9572,normal,accept,NORMAL
119,100,N,N,0.0,0.9717,0.152,0.9544,normal,accept,NORMAL
120,100,N,N,0.0,0.979,0.1127,0.9609,normal,accept,NORMAL
121,100,N,N,0.0,0.9817,0.1045,0.9676,normal,accept,NORMAL
122,100,N,N,0.0,0.9761,0.1313,0.9587,normal,accept,NORMAL
123,100,N,N,0.0,0.979,0.1189,0.9645,normal,accept,NORMAL
124,100,N,N,0.0,0.9353,0.2652,0.8771,normal,accept,NORMAL
125,100,N,N,0.0,0.973,0.1379,0.95,normal,accept,NORMAL
126,100,N,N,0.0,0.9643,0.1822,0.9434,normal,accept,NORMAL
127,100,N,N,0.0,0.9786,0.1215,0.9677,normal,accept,NORMAL
128,100,N,N,0.0,0.9848,0.089,0.9727,normal,accept,NORMAL
129,100,N,N,0.0,0.9844,0.0933,0.9741,normal,accept,NORMAL
130,100,N,N,0.0,0.9803,0.1137,0.9707,normal,accept,NORMAL
131,100,N,N,0.0,0.9856,0.0851,0.9742,normal,accept,NORMAL
132,100,N,N,0.0,0.9423,0.2579,0.8985,normal,accept,NORMAL
133,100,N,N,0.0,0.977,0.1257,0.9595,normal,accept,NORMAL
134,100,N,N,0.0,0.9716,0.1515,0.9524,normal,accept,NORMAL
135,100,N,N,0.0,0.981,0.1091,0.9681,normal,accept,NORMAL
136,100,N,N,0.0,0.9728,0.142,0.9509,normal,accept,NORMAL
137,100,N,N,0.0,0.9785,0.1216,0.9653,normal,accept,NORMAL
138,100,N,N,0.0,0.9851,0.0902,0.9755,normal,accept,NORMAL
139,100,N,N,0.0,0.9645,0.1791,0.9395,normal,accept,NORMAL
140,100,N,N,0.0,0.9805,0.1059,0.9637,normal,accept,NORMAL
141,100,N,N,0.0,0.8855,0.442,0.8156,normal,accept,NORMAL
142,100,N,N,0.0,0.9815,0.1082,0.9709,normal,accept,NORMAL
143,100,N,N,0.0,0.9818,0.1019,0.9667,normal,accept,NORMAL
144,100,N,N,0.0,0.9713,0.1505,0.9502,normal,accept,NORMAL
145,100,N,N,0.0,0.9591,0.1962,0.9271,normal,accept,NORMAL
146,100,N,N,0.0,0.9727,0.142,0.9507,normal,accept,NORMAL
147,100,N,N,0.0,0.9738,0.1389,0.9542,normal,accept,NORMAL
148,100,N,N,0.0,0.9765,0.1289,0.9598,normal,accept,NORMAL
149,100,N,N,0.0,0.9792,0.1166,0.9643,normal,accept,NORMAL
150,100,N,N,0.0,0.9787,0.1137,0.9601,normal,accept,NORMAL
151,100,N,N,0.0,0.9759,0.1278,0.9564,normal,accept,NORMAL
152,100,N,N,0.0,0.9586,0.1879,0.9209,normal,accept,NORMAL
153,100,N,N,0.0,0.9811,0.1068,0.9664,normal,accept,NORMAL
154,100,N,N,0.0,0.9718,0.1458,0.949,normal,accept,NORMAL
155,100,N,N,0.0,0.9629,0.1823,0.9342,normal,accept,NORMAL
156,100,N,N,0.0,0.9595,0.202,0.9365,normal,accept,NORMAL
157,100,N,N,0.0,0.9722,0.143,0.9492,normal,accept,NORMAL
158,100,N,N,0.0,0.9646,0.1742,0.9356,normal,accept,NORMAL
159,100,N,N,0.0,0.9835,0.0966,0.9719,normal,accept,NORMAL
160,100,N,N,0.0,0.9863,0.0839,0.9775,normal,accept,NORMAL
161,100,N,N,0.0,0.9821,0.0984,0.9665,normal,accept,NORMAL
162,100,N,N,0.0,0.9701,0.1573,0.9523,normal,accept,NORMAL
163,100,N,N,0.0,0.8796,0.4592,0.8143,normal,accept,NORMAL
164,100,N,N,0.0,0.9694,0.159,0.9477,normal,accept,NORMAL
165,100,N,N,0.0,0.9783,0.115,0.9595,normal,accept,NORMAL
166,100,N,N,0.0,0.9685,0.1644,0.9468,normal,accept,NORMAL
167,100,N,N,0.0,0.9788,0.116,0.9618,normal,accept,NORMAL
168,100,N,N,0.0,0.9772,0.1228,0.9588,normal,accept,NORMAL
169,100,N,N,0.0,0.9718,0.142,0.9474,normal,accept,NORMAL
170,100,N,N,0.0,0.9575,0.2029,0.9246,normal,accept,NORMAL
171,100,N,N,0.0,0.968,0.1626,0.943,normal,accept,NORMAL
172,100,N,N,0.0,0.9712,0.1428,0.9454,normal,accept,NORMAL
173,100,N,N,0.0,0.986,0.0839,0.9755,normal,accept,NORMAL
174,100,N,N,0.0,0.9668,0.1724,0.9468,normal,accept,NORMAL
175,100,N,N,0.0,0.9829,0.0984,0.9696,normal,accept,NORMAL
176,100,N,N,0.0,0.9509,0.2175,0.9072,normal,accept,NORMAL
177,100,N,N,0.0,0.9807,0.107,0.9649,normal,accept,NORMAL
178,100,N,N,0.0,0.9802,0.1126,0.9667,normal,accept,NORMAL
179,100,N,N,0.0,0.9775,0.1243,0.9618,normal,accept,NORMAL
180,100,N,N,0.0,0.9818,0.1017,0.9667,normal,accept,NORMAL
181,100,N,N,0.0,0.9823,0.1047,0.9713,normal,accept,NORMAL
182,100,N,N,0.0,0.9804,0.114,0.9709,normal,accept,NORMAL
183,100,N,N,0.0,0.9803,0.1138,0.9695,normal,accept,NORMAL
184,100,N,N,0.0,0.9815,0.1016,0.9656,normal,accept,NORMAL
185,100,N,N,0.0,0.9755,0.1335,0.959,normal,accept,NORMAL
186,100,N,N,0.0,0.9685,0.155,0.9411,normal,accept,NORMAL
187,100,N,N,0.0,0.9872,0.0783,0.9779,normal,accept,NORMAL
188,100,N,N,0.0,0.9855,0.0838,0.9734,normal,accept,NORMAL
189,100,N,N,0.0,0.9813,0.108,0.9691,normal,accept,NORMAL
190,100,N,N,0.0,0.9861,0.0844,0.9761,normal,accept,NORMAL
191,100,N,N,0.0,0.9342,0.2777,0.8789,normal,accept,NORMAL
192,100,N,N,0.0,0.9837,0.0946,0.971,normal,accept,NORMAL
193,100,N,N,0.0,0.929,0.3017,0.8751,normal,accept,NORMAL
194,100,N,N,0.0,0.9682,0.167,0.952,normal,accept,NORMAL
195,100,N,N,0.0,0.9437,0.243,0.8947,normal,accept,NORMAL
196,100,N,N,0.0,0.9807,0.1065,0.9652,normal,accept,NORMAL
197,100,N,N,0.0,0.9786,0.1157,0.9606,normal,accept,NORMAL
198,100,N,N,0.0,0.9683,0.1634,0.9451,normal,accept,NORMAL
199,100,N,N,0.0,0.9585,0.1897,0.9215,normal,accept,NORMAL
200,100,N,N,0.0,0.9761,0.1309,0.96,normal,accept,NORMAL
201,100,N,N,0.0,0.9651,0.174,0.9378,normal,accept,NORMAL
202,100,N,N,0.0,0.9746,0.1385,0.9588,normal,accept,NORMAL
203,100,N,N,0.0,0.9783,0.1197,0.9613,normal,accept,NORMAL
204,100,N,N,0.0,0.9836,0.0964,0.972,normal,accept,NORMAL
205,100,N,N,0.0,0.9826,0.1014,0.9702,normal,accept,NORMAL
206,100,N,N,0.0,0.9729,0.1465,0.9586,normal,accept,NORMAL
207,100,N,N,0.0,0.966,0.161,0.9349,normal,accept,NORMAL
208,100,N,N,0.0,0.8492,0.5374,0.7648,normal,accept,NORMAL
209,100,N,N,0.0,0.971,0.1556,0.9564,normal,accept,NORMAL
210,100,N,N,0.0,0.9819,0.1039,0.9682,normal,accept,NORMAL
211,100,N,N,0.0,0.9785,0.1172,0.961,normal,accept,NORMAL
212,100,N,N,0.0,0.9775,0.1233,0.9602,normal,accept,NORMAL
213,100,N,N,0.0,0.9553,0.2122,0.9215,normal,accept,NORMAL
214,100,N,N,0.0,0.9818,0.0991,0.9657,normal,accept,NORMAL
215,100,N,N,0.0,0.9566,0.1958,0.9175,normal,accept,NORMAL
216,100,N,N,0.0,0.9655,0.1731,0.9393,normal,accept,NORMAL
217,100,N,N,0.0,0.9106,0.3505,0.8375,normal,accept,NORMAL
218,100,N,N,0.0,0.9846,0.0903,0.973,normal,accept,NORMAL
219,100,N,N,0.0,0.9848,0.0922,0.9745,normal,accept,NORMAL
220,100,N,N,0.0,0.9829,0.0991,0.97,normal,accept,NORMAL
221,100,N,N,0.0,0.9792,0.1129,0.9616,normal,accept,NORMAL
222,100,N,N,0.0,0.9517,0.2163,0.9094,normal,accept,NORMAL
223,100,N,N,0.0,0.9773,0.1238,0.9598,normal,accept,NORMAL
224,100,N,N,0.0,0.9759,0.1327,0.9596,normal,accept,NORMAL
225,100,N,N,0.0,0.9858,0.0844,0.9749,normal,accept,NORMAL
226,100,N,N,0.0,0.9815,0.1047,0.9669,normal,accept,NORMAL
227,100,N,N,0.0,0.9079,0.3637,0.8368,normal,accept,NORMAL
228,100,N,N,0.0,0.9838,0.0923,0.9704,normal,accept,NORMAL
229,100,N,N,0.0,0.9721,0.1385,0.9467,normal,accept,NORMAL
230,100,S,N,0.0,0.8807,0.3971,0.7692,normal,accept,NORMAL
231,100,N,N,0.0,0.9687,0.1565,0.9422,normal,accept,NORMAL
232,100,N,N,0.0,0.94,0.2536,0.8872,normal,accept,NORMAL
233,100,N,N,0.0,0.9599,0.1862,0.9245,normal,accept,NORMAL
234,100,N,N,0.0,0.9799,0.1102,0.9636,normal,accept,NORMAL
235,100,N,N,0.0,0.9691,0.1636,0.9538,normal,accept,NORMAL
236,100,N,N,0.0,0.9546,0.22,0.9281,normal,accept,NORMAL
237,100,N,N,0.0,0.9728,0.1408,0.9506,normal,accept,NORMAL
238,100,N,N,0.0,0.9535,0.2222,0.9231,normal,accept,NORMAL
239,100,N,N,0.0,0.956,0.2022,0.9182,normal,accept,NORMAL
240,100,N,N,0.0,0.9856,0.086,0.9746,normal,accept,NORMAL
241,100,N,N,0.0,0.9843,0.0923,0.9724,normal,accept,NORMAL
242,100,N,N,0.0,0.9823,0.1021,0.9689,normal,accept,NORMAL
243,100,N,N,0.0,0.9769,0.1279,0.9612,normal,accept,NORMAL
244,100,N,N,0.0,0.9753,0.1336,0.9568,normal,accept,NORMAL
245,100,N,N,0.0,0.9745,0.1311,0.9521,normal,accept,NORMAL
246,100,N,N,0.0,0.9827,0.1025,0.9738,normal,accept,NORMAL
247,100,N,N,0.0,0.9755,0.1345,0.9592,normal,accept,NORMAL
248,100,N,N,0.0,0.9815,0.1029,0.9663,normal,accept,NORMAL
249,100,N,N,0.0,0.9811,0.1083,0.9675,normal,accept,NORMAL
250,100,N,N,0.0,0.9786,0.1171,0.9617,normal,accept,NORMAL
251,100,N,N,0.0,0.9838,0.0961,0.9727,normal,accept,NORMAL
252,100,N,N,0.0,0.9792,0.1166,0.9637,normal,accept,NORMAL
253,100,N,N,0.0,0.973,0.1455,0.9552,normal,accept,NORMAL
254,100,N,N,0.0,0.9344,0.2847,0.8841,normal,accept,NORMAL
255,100,N,N,0.0,0.987,0.0801,0.9787,normal,accept,NORMAL
256,100,N,N,0.0,0.9843,0.0926,0.9726,normal,accept,NORMAL
257,100,N,N,0.0,0.9839,0.0932,0.9712,normal,accept,NORMAL
258,100,S,N,0.0,0.9644,0.1806,0.9397,normal,accept,NORMAL
259,100,N,N,0.0,0.9844,0.0936,0.9749,normal,accept,NORMAL
260,100,N,N,0.0,0.9781,0.119,0.9605,normal,accept,NORMAL
261,100,N,N,0.0,0.925,0.3183,0.8727,normal,accept,NORMAL
262,100,N,N,0.0,0.9794,0.1159,0.9642,normal,accept,NORMAL
263,100,N,N,0.0,0.9825,0.1007,0.9694,normal,accept,NORMAL
264,100,N,N,0.0,0.983,0.0975,0.9695,normal,accept,NORMAL
265,100,N,N,0.0,0.9777,0.1214,0.9603,normal,accept,NORMAL
266,100,N,N,0.0,0.9531,0.2219,0.9196,normal,accept,NORMAL
267,100,N,N,0.0,0.9833,0.0984,0.9716,normal,accept,NORMAL
268,100,N,N,0.0,0.9715,0.1425,0.9464,normal,accept,NORMAL
269,100,N,N,0.0,0.9801,0.1153,0.9703,normal,accept,NORMAL
270,100,N,N,0.0,0.9798,0.1164,0.9687,normal,accept,NORMAL
271,100,N,N,0.0,0.9689,0.1509,0.9409,normal,accept,NORMAL
272,100,N,N,0.0,0.9762,0.1262,0.9566,normal,accept,NORMAL
273,100,N,N,0.0,0.9748,0.138,0.9594,normal,accept,NORMAL
274,100,N,N,0.0,0.9644,0.1788,0.9399,normal,accept,NORMAL
275,100,N,N,0.0,0.9835,0.0974,0.9717,normal,accept,NORMAL
276,100,N,N,0.0,0.9823,0.1042,0.9725,normal,accept,NORMAL
277,100,N,N,0.0,0.9771,0.1286,0.9654,normal,accept,NORMAL
278,100,N,N,0.0,0.9862,0.0852,0.9795,normal,accept,NORMAL
279,100,N,N,0.0,0.9683,0.1542,0.9402,normal,accept,NORMAL
280,100,N,N,0.0,0.9725,0.1383,0.9484,normal,accept,NORMAL
281,100,N,N,0.0,0.9764,0.1311,0.9647,normal,accept,NORMAL
282,100,N,N,0.0,0.9847,0.0868,0.9715,normal,accept,NORMAL
283,100,N,N,0.0,0.9333,0.2756,0.8753,normal,accept,NORMAL
284,100,N,N,0.0,0.9776,0.1266,0.9653,normal,accept,NORMAL
285,100,N,N,0.0,0.9594,0.1972,0.9287,normal,accept,NORMAL
286,100,N,N,0.0,0.9732,0.1383,0.9508,normal,accept,NORMAL
287,100,N,N,0.0,0.9805,0.1085,0.9647,normal,accept,NORMAL
288,100,N,N,0.0,0.9772,0.1259,0.9606,normal,accept,NORMAL
289,100,N,N,0.0,0.9617,0.1939,0.9416,normal,accept,NORMAL
290,100,N,N,0.0,0.9776,0.1185,0.9581,normal,accept,NORMAL
291,100,N,N,0.0,0.959,0.1982,0.9279,normal,accept,NORMAL
292,100,N,N,0.0,0.9854,0.0844,0.9733,normal,accept,NORMAL
293,100,N,N,0.0,0.949,0.2269,0.9048,normal,accept,NORMAL
294,100,N,N,0.0,0.9821,0.1001,0.9672,normal,accept,NORMAL
295,100,N,N,0.0,0.987,0.079,0.9772,normal,accept,NORMAL
296,100,N,N,0.0,0.9861,0.085,0.9789,normal,accept,NORMAL
297,100,N,N,0.0,0.9832,0.0955,0.9694,normal,accept,NORMAL
298,100,N,N,0.0,0.9795,0.1126,0.9631,normal,accept,NORMAL
299,100,N,N,0.0,0.9673,0.162,0.94,normal,accept,NORMAL
300,100,N,N,0.0,0.9792,0.1118,0.9612,normal,accept,NORMAL
301,100,N,N,0.0,0.9653,0.1652,0.9343,normal,accept,NORMAL
302,100,N,N,0.0,0.9802,0.1135,0.9679,normal,accept,NORMAL
303,100,N,N,0.0,0.9843,0.0942,0.9758,normal,accept,NORMAL
304,100,N,N,0.0,0.9808,0.1062,0.9649,normal,accept,NORMAL
305,100,N,N,0.0,0.9568,0.2122,0.9349,normal,accept,NORMAL
306,100,N,N,0.0,0.9401,0.2655,0.8946,normal,accept,NORMAL
307,100,N,N,0.0,0.9828,0.0995,0.9698,normal,accept,NORMAL
308,100,N,N,0.0,0.9834,0.0985,0.9727,normal,accept,NORMAL
309,100,N,N,0.0,0.9706,0.1533,0.9492,normal,accept,NORMAL
310,100,N,N,0.0,0.9781,0.1223,0.9637,normal,accept,NORMAL
311,100,N,N,0.0,0.969,0.1523,0.9416,normal,accept,NORMAL
312,100,N,N,0.0,0.9577,0.2081,0.9322,normal,accept,NORMAL
313,100,N,N,0.0,0.9666,0.173,0.9478,normal,accept,NORMAL
314,100,N,N,0.0,0.9509,0.2244,0.9108,normal,accept,NORMAL
315,100,N,N,0.0,0.9769,0.1246,0.9583,normal,accept,NORMAL
316,100,N,N,0.0,0.9599,0.2001,0.9401,normal,accept,NORMAL
317,100,N,N,0.0,0.9691,0.1635,0.9518,normal,accept,NORMAL
318,100,N,N,0.0,0.9713,0.1441,0.9463,normal,accept,NORMAL
319,100,N,N,0.0,0.9781,0.1186,0.9604,normal,accept,NORMAL
320,100,N,N,0.0,0.9832,0.0986,0.9719,normal,accept,NORMAL
321,100,N,N,0.0,0.983,0.0987,0.9704,normal,accept,NORMAL
322,100,N,N,0.0,0.9592,0.1908,0.9238,normal,accept,NORMAL
323,100,N,N,0.0,0.9836,0.0958,0.9712,normal,accept,NORMAL
324,100,N,N,0.0,0.8849,0.4406,0.8102,normal,accept,NORMAL
325,100,N,N,0.0,0.9751,0.1355,0.9578,normal,accept,NORMAL
326,100,N,N,0.0,0.973,0.1361,0.9489,normal,accept,NORMAL
327,100,N,N,0.0,0.9758,0.1282,0.9559,normal,accept,NORMAL
328,100,N,N,0.0,0.9777,0.125,0.9624,normal,accept,NORMAL
329,100,N,N,0.0,0.9857,0.088,0.9769,normal,accept,NORMAL
330,100,N,N,0.0,0.9872,0.0793,0.9783,normal,accept,NORMAL
331,100,N,N,0.0,0.9812,0.1077,0.9684,normal,accept,NORMAL
332,100,N,N,0.0,0.8983,0.3958,0.8237,normal,accept,NORMAL
333,100,N,N,0.0,0.9814,0.1079,0.972,normal,accept,NORMAL
334,100,N,N,0.0,0.9743,0.1383,0.955,normal,accept,NORMAL
335,100,N,N,0.0,0.9755,0.1345,0.9588,normal,accept,NORMAL
336,100,N,N,0.0,0.9573,0.2082,0.9286,normal,accept,NORMAL
337,100,N,N,0.0,0.9849,0.0894,0.9736,normal,accept,NORMAL
338,100,N,N,0.0,0.9687,0.1597,0.944,normal,accept,NORMAL
339,100,N,N,0.0,0.9804,0.1094,0.9649,normal,accept,NORMAL
340,100,N,N,0.0,0.9424,0.2497,0.8938,normal,accept,NORMAL
341,100,N,N,0.0,0.9755,0.1274,0.9544,normal,accept,NORMAL
342,100,S,N,0.0,0.9436,0.2584,0.9101,normal,accept,NORMAL
343,100,N,N,0.0,0.9784,0.1219,0.9634,normal,accept,NORMAL
344,100,N,N,0.0,0.9743,0.1414,0.9582,normal,accept,NORMAL
345,100,N,N,0.0,0.9894,0.0673,0.9819,normal,accept,NORMAL
346,100,N,N,0.0,0.9754,0.1299,0.9553,normal,accept,NORMAL
347,100,N,N,0.0,0.9546,0.2133,0.9191,normal,accept,NORMAL
348,100,N,N,0.0,0.9504,0.2341,0.917,normal,accept,NORMAL
349,100,N,N,0.0,0.9806,0.108,0.9649,normal,accept,NORMAL
350,100,N,N,0.0,0.9773,0.1269,0.9646,normal,accept,NORMAL
351,100,N,N,0.0,0.9814,0.1077,0.9689,normal,accept,NORMAL
352,100,N,N,0.0,0.9839,0.0952,0.9723,normal,accept,NORMAL
353,100,N,N,0.0,0.9656,0.1727,0.9385,normal,accept,NORMAL
354,100,N,N,0.0,0.965,0.1728,0.9367,normal,accept,NORMAL
355,100,N,N,0.0,0.9825,0.1028,0.9714,normal,accept,NORMAL
356,100,N,N,0.0,0.9798,0.1107,0.9629,normal,accept,NORMAL
357,100,N,N,0.0,0.9568,0.2111,0.9288,normal,accept,NORMAL
358,100,N,N,0.0,0.9768,0.1307,0.9632,normal,accept,NORMAL
